Model,Library,Train Size,Test Size,Features,CV F1-Macro,CV Std,Test Accuracy,Test F1-Macro,F1 Adequate,F1 Warning,F1 Severe,F1 Critical,Device,HPO Trials,HPO Time (s),Fit Time (s),Total Time (s),Parameters,Best Epoch
CatBoost,catboost v1.2.8,4576,824,25,0.9785,0.0126,0.9272,0.9286,0.993,0.835,0.933,0.953,GPU,15,115.9,2.4,118.3,,29.0
RandomForest,scikit-learn v1.7.0,4576,824,25,0.9820,0.0059,0.9454,0.9462,0.993,0.892,0.951,0.949,CPU,15,215.4,3.8,220.9,,
TabNet,pytorch-tabnet v4.1.0,4576,824,25,0.9307,0.0222,0.8216,0.8120,0.959,0.496,0.840,0.953,GPU,15,1284.6,28.4,1314.6,17605.0,81.0
