timestamp_sec_str,app,cenario,n_carros,vazao_env_carro_total_bps,vazao_env_carro_media_bps,throughput_bps,vazao_rec_servidor_media_bps,lat_ms,pdr,arquivo_origem,categoria,lambda,throughput_kbps,timestamp,lat_ms_mean3,lat_ms_std3,lat_ms_delta,pdr_mean3,pdr_std3,pdr_delta,throughput_kbps_mean3,throughput_kbps_std3,throughput_kbps_delta,loss_ratio,thr_util,time_block,group_id
1987-10-05 11:07:11 UTC,s,fq,15,7478016,498534.4,6878816,458587.733333333,62.9877777777778,0.919871794871795,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6878.816,1987-10-05 11:07:11+00:00,56.468350168350156,8.152768726958879,3.8977777777777973,0.960408150625542,0.04007245167806705,-0.04148086213303592,7102.517333333332,202.7859001544831,-275.6320000000005,0.08710801492969422,0.6878816,5,s_5
1987-10-05 11:07:12 UTC,s,fq,15,7418096,494539.733333333,6962704,464180.266666667,20.18,0.938610662358643,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6962.704,1987-10-05 11:07:12+00:00,47.41925925925924,23.670257689156234,-42.8077777777778,0.939945038078423,0.020772599734864807,0.018738867486847943,6998.655999999998,141.2892762530751,83.88799999999992,0.06540447603875149,0.6962704,5,s_5
1987-10-05 11:07:13 UTC,s,fq,15,7442064,496137.6,6375488,425032.533333333,46.6175,0.856682769726248,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6375.488,1987-10-05 11:07:13+00:00,43.26175925925924,21.600282496569335,26.4375,0.9050550756522288,0.04292663828112774,-0.08192789263239497,6739.0026666666645,317.59484220846224,-587.2159999999994,0.1672932340547197,0.6375488,5,s_5
1987-10-05 11:07:14 UTC,s,fq,15,7466032,497735.466666667,6770960,451397.333333333,106.833333333333,0.906902086677368,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6770.96,1987-10-05 11:07:14+00:00,57.87694444444431,44.410374449772235,60.215833333333,0.9007318395874196,0.04131100167822678,0.05021931695112003,6703.050666666665,299.4401707009491,395.47199999999975,0.10265486824609858,0.677096,5,s_5
1987-10-05 11:07:15 UTC,s,fq,15,7406112,493740.8,6902784,460185.6,106.741666666667,0.932038834951456,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6902.784,1987-10-05 11:07:15+00:00,86.73083333333331,34.73919589538811,-0.09166666666600065,0.8985412304516908,0.038367461203149426,0.02513674827408796,6683.077333333332,274.41353871376504,131.82399999999961,0.07291666766135017,0.6902784,5,s_5
1987-10-05 11:07:16 UTC,s,fq,15,7513968,500931.2,6711040,447402.666666667,77.9655555555556,0.893141945773525,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6711.04,1987-10-05 11:07:16+00:00,97.18018518518518,16.64042042675403,-28.776111111111405,0.9106942891341164,0.01972378251080765,-0.03889688917793099,6794.927999999997,98.09326761858875,-191.7439999999997,0.11964285812854236,0.671104,5,s_5
1987-10-05 11:07:17 UTC,s,fq,15,7406112,493740.8,7190400,479360.0,73.3390909090909,0.970873786407767,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,7190.4,1987-10-05 11:07:17+00:00,86.01543771043782,18.09788568510271,-4.626464646464697,0.9320181890442493,0.038865924429835795,0.07773184063424199,6934.741333333332,241.27257565965354,479.3599999999997,0.030000000999099986,0.71904,5,s_5
1987-10-05 11:07:18 UTC,s,fq,15,7430080,495338.666666667,7058576,470571.733333333,52.05,0.95,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,7058.576,1987-10-05 11:07:18+00:00,67.78488215488214,13.821755624016753,-21.289090909090902,0.9380052440604306,0.040230155227552265,-0.020873786407767048,6986.671999999999,247.63711618438094,-131.82399999999961,0.05263157994459839,0.7058576,5,s_5
1987-10-05 11:07:19 UTC,s,fq,15,7454048,496936.533333333,6579216,438614.4,43.376,0.882636655948553,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6579.216,1987-10-05 11:07:19+00:00,56.25503030303028,15.417795287259768,-8.674,0.9345034807854399,0.046114578809128205,-0.06736334405144695,6942.7306666666655,321.6388913136036,-479.3599999999997,0.13296903559069817,0.6579216,5,s_5
1987-10-05 11:07:20 UTC,s,fq,15,7382144,492142.933333333,6327552,421836.8,26.3909090909091,0.857142857142857,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6327.552,1987-10-05 11:07:20+00:00,40.60563636363634,13.051950812140987,-16.985090909090896,0.89659317103047,0.047976040685124254,-0.025493798805696022,6655.1146666666655,371.3751174290049,-251.66400000000067,0.1666666676388891,0.6327552,5,s_5
1987-10-05 11:07:21 UTC,s,fq,15,7490000,499333.333333333,5896128,393075.2,117.072727272727,0.7872,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,5896.128,1987-10-05 11:07:21+00:00,62.27987878787868,48.205969646270894,90.68181818181789,0.8423265043638034,0.049413379331054726,-0.06994285714285697,6267.631999999998,345.4636141998516,-431.424,0.2703252041789568,0.5896127999999999,5,s_5
1987-10-05 11:07:22 UTC,s,fq,15,7394128,492941.866666667,6531280,435418.666666667,32.9721428571429,0.883306320907618,metricas_v10_ci_s_fq.csv,mbclcp,-0.149999999999999,6531.28,1987-10-05 11:07:22+00:00,58.81192640692631,50.56252411659598,-84.1005844155841,0.842549726016825,0.04968728043116009,0.09610632090761795,6251.653333333331,324.3069093888611,635.152,0.1321100927256656,0.6531279999999999,5,s_5
