feature,importance
cat__timestamp_sec_str_1987-10-05 11:07:25 UTC,8.990274059168548e-06
cat__timestamp_1987-10-05 11:06:09+00:00,8.756315359422897e-06
cat__arquivo_origem_metricas_v10_ci_s_fq.csv,8.647545789416729e-06
cat__timestamp_1987-10-05 11:06:51+00:00,8.20212267638784e-06
cat__timestamp_1987-10-05 11:08:11+00:00,8.139057409603677e-06
cat__timestamp_sec_str_1987-10-05 11:07:22 UTC,7.521713308483414e-06
cat__timestamp_1987-10-05 11:05:41+00:00,7.34638100047772e-06
cat__timestamp_sec_str_1987-10-05 11:08:00 UTC,6.994170051373095e-06
cat__timestamp_sec_str_1987-10-05 11:08:51 UTC,6.959656755892559e-06
cat__timestamp_sec_str_1987-10-05 11:04:26 UTC,6.6241370516601526e-06
cat__timestamp_1987-10-05 11:08:00+00:00,6.2104924855917e-06
cat__timestamp_1987-10-05 11:06:02+00:00,6.006513693239917e-06
cat__timestamp_sec_str_1987-10-05 11:07:55 UTC,5.834767743019369e-06
cat__timestamp_sec_str_1987-10-05 11:06:26 UTC,5.1362156726871844e-06
cat__timestamp_1987-10-05 11:07:55+00:00,4.987226834250057e-06
cat__timestamp_sec_str_1987-10-05 11:05:52 UTC,4.805441205273974e-06
cat__timestamp_sec_str_1987-10-05 11:07:16 UTC,4.766447016141774e-06
cat__timestamp_sec_str_1987-10-05 11:08:10 UTC,4.740851934808955e-06
cat__timestamp_sec_str_1987-10-05 11:03:59 UTC,4.609821651639596e-06
cat__timestamp_1987-10-05 11:06:12+00:00,4.421136153906503e-06
cat__timestamp_sec_str_1987-10-05 11:06:51 UTC,4.382076400829324e-06
cat__timestamp_1987-10-05 11:05:35+00:00,4.245128394433699e-06
cat__timestamp_sec_str_1987-10-05 11:05:43 UTC,4.043428605961736e-06
cat__timestamp_sec_str_1987-10-05 11:01:29 UTC,3.956147696775607e-06
cat__group_id_e2_2,3.94994662231328e-06
cat__timestamp_1987-10-05 11:04:00+00:00,3.80735575670513e-06
cat__timestamp_sec_str_1987-10-05 11:01:38 UTC,3.7968669389578195e-06
cat__timestamp_1987-10-05 11:06:55+00:00,3.680160696708573e-06
cat__timestamp_sec_str_1987-10-05 11:06:12 UTC,3.611773058453766e-06
cat__timestamp_sec_str_1987-10-05 11:04:30 UTC,3.338026669052967e-06
cat__timestamp_sec_str_1987-10-05 11:08:45 UTC,3.104042502892172e-06
cat__timestamp_sec_str_1987-10-05 11:05:55 UTC,2.998234657108241e-06
