feature,importance
cat__timestamp_1987-10-05 11:04:04+00:00,0.0
cat__timestamp_1987-10-05 11:04:03+00:00,0.0
cat__timestamp_1987-10-05 11:03:53+00:00,0.0
cat__timestamp_1987-10-05 11:04:02+00:00,0.0
cat__timestamp_1987-10-05 11:04:06+00:00,0.0
cat__timestamp_1987-10-05 11:04:01+00:00,0.0
cat__timestamp_1987-10-05 11:03:52+00:00,0.0
cat__timestamp_1987-10-05 11:04:07+00:00,0.0
cat__timestamp_1987-10-05 11:03:59+00:00,0.0
cat__timestamp_1987-10-05 11:04:09+00:00,0.0
cat__timestamp_1987-10-05 11:04:10+00:00,0.0
cat__timestamp_1987-10-05 11:03:51+00:00,0.0
cat__timestamp_1987-10-05 11:04:00+00:00,0.0
cat__timestamp_1987-10-05 11:04:11+00:00,0.0
cat__timestamp_1987-10-05 11:04:12+00:00,0.0
cat__timestamp_1987-10-05 11:04:13+00:00,0.0
cat__timestamp_1987-10-05 11:03:54+00:00,0.0
cat__timestamp_1987-10-05 11:03:55+00:00,0.0
cat__timestamp_1987-10-05 11:04:08+00:00,0.0
cat__timestamp_1987-10-05 11:04:53+00:00,0.0
cat__timestamp_1987-10-05 11:04:54+00:00,0.0
cat__timestamp_1987-10-05 11:04:55+00:00,0.0
cat__timestamp_1987-10-05 11:04:56+00:00,0.0
cat__timestamp_1987-10-05 11:04:57+00:00,0.0
cat__timestamp_1987-10-05 11:04:58+00:00,0.0
cat__timestamp_1987-10-05 11:04:59+00:00,0.0
cat__timestamp_1987-10-05 11:05:00+00:00,0.0
cat__timestamp_1987-10-05 11:05:01+00:00,0.0
cat__timestamp_1987-10-05 11:05:02+00:00,0.0
cat__timestamp_1987-10-05 11:05:03+00:00,0.0
cat__timestamp_1987-10-05 11:05:04+00:00,0.0
cat__timestamp_1987-10-05 11:05:05+00:00,0.0
cat__timestamp_1987-10-05 11:04:34+00:00,0.0
cat__timestamp_1987-10-05 11:05:07+00:00,0.0
cat__timestamp_1987-10-05 11:05:08+00:00,0.0
cat__timestamp_1987-10-05 11:05:09+00:00,0.0
cat__timestamp_1987-10-05 11:05:10+00:00,0.0
cat__timestamp_1987-10-05 11:05:11+00:00,0.0
cat__timestamp_1987-10-05 11:05:12+00:00,0.0
cat__timestamp_1987-10-05 11:05:13+00:00,0.0
cat__timestamp_1987-10-05 11:05:14+00:00,0.0
cat__timestamp_1987-10-05 11:05:15+00:00,0.0
cat__timestamp_1987-10-05 11:05:16+00:00,0.0
cat__timestamp_1987-10-05 11:05:18+00:00,0.0
cat__timestamp_1987-10-05 11:05:19+00:00,0.0
cat__timestamp_1987-10-05 11:05:20+00:00,0.0
cat__timestamp_1987-10-05 11:05:06+00:00,0.0
cat__timestamp_1987-10-05 11:04:24+00:00,0.0
cat__timestamp_1987-10-05 11:04:25+00:00,0.0
cat__timestamp_1987-10-05 11:04:26+00:00,0.0
cat__timestamp_1987-10-05 11:04:27+00:00,0.0
cat__timestamp_1987-10-05 11:04:28+00:00,0.0
cat__timestamp_1987-10-05 11:04:29+00:00,0.0
cat__timestamp_1987-10-05 11:04:30+00:00,0.0
cat__timestamp_1987-10-05 11:04:31+00:00,0.0
cat__timestamp_1987-10-05 11:04:32+00:00,0.0
